ID,Activity,Mode,Platform,Feature,Entry_Point,Screen,Owning_View,Owning_Store,Implementation_Status,Reachable,Interaction_Complete,State_Complete,Localized_IT,Localized_EN,Accessible,Persisted,Restored,Synced,Exported,Tested,Documented,Mockup_Aligned,Safety_Truthful,Readiness_Percent,Severity,Finding_IDs,Notes
MUIUX-F023,Diving,Technical,iOS,Avg-depth gas option,Planner Technical,PlannerView,AvgDepthGasToggle,PlannerStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,91,,,
MUIUX-F024,Diving,All,iOS,Ascent speed settings,MoreView,PlannerAscentSpeedSettingsView,PlannerAscentSpeedSettingsView,SharedIOSSettingsStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,partial,yes,89,P2,MUIUX-P2-004,Not linked from Planner header
MUIUX-F025,Diving,All,iOS,Equipment,Gear tab,EquipmentView,EquipmentView,EquipmentStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,90,,,
MUIUX-F026,Diving,All,iOS,Checklist,Checklist tab,ChecklistView,ChecklistView,ChecklistStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,90,,,
MUIUX-F027,Diving,All,iOS,Diving logbook,Logbook tab,LogbookView,LogbookView,DiveLogStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,90,,,
MUIUX-F028,Diving,All,iOS,Manual dive,Logbook,ManualDiveEditorView,ManualDiveEditorView,DiveLogStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,91,,,
MUIUX-F029,Diving,All,iOS,Analysis/tissue/narcosis,Analysis tab,AnalysisView,AnalysisView,AnalysisStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,88,,,
MUIUX-F030,Diving,All,Watch+iOS,PDF/share/export,Various,Share/PDF builders,ShareSheet,Export services,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,89,P1,MUIUX-P1-004,Physical PDF render PENDING
MUIUX-F031,Apnea,Apnea,Watch,Apnea live session,Activity→Apnea,ApneaView,ApneaView,ApneaSessionManager,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,88,P1,MUIUX-P1-001,Physical underwater QA PENDING
MUIUX-F032,Apnea,Apnea,Watch,Apnea in-mode settings,Apnea gear,SettingsView,WatchApneaActivitySettingsSection,ApneaSettingsStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,91,,,Blocked during active session
MUIUX-F033,Apnea,Apnea,iOS,Apnea root,Activity selection,IOSApneaRootView,IOSApneaRootView,IOSApneaNavigationStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,92,,,
MUIUX-F034,Apnea,Apnea,iOS,Apnea settings editable,Gear/More,IOSApneaSettingsContent,IOSApneaSettingsContent,IOSApneaSettingsStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,93,,,
MUIUX-F035,Apnea,Apnea,iOS,Apnea logbook,Sessions tab,IOSApneaSessionsListView,IOSApneaSessionsListView,IOSApneaLogbookStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,92,,,
MUIUX-F036,Snorkeling,Snorkeling,Watch,Snorkeling live,Activity→Snorkeling,SnorkelingView,SnorkelingView,SnorkelingSessionManager,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,87,P1,MUIUX-P1-001,Physical GPS QA PENDING
MUIUX-F037,Snorkeling,Snorkeling,Watch,Snorkeling in-mode settings,Snorkeling gear,SettingsView,WatchSnorkelingActivitySettingsSection,SnorkelingSettingsStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,90,,,
MUIUX-F038,Snorkeling,Snorkeling,iOS,Snorkeling root/route planner,Activity selection,IOSSnorkelingRootView,IOSSnorkelingRootView,IOSSnorkelingNavigationStore,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,90,,,
MUIUX-F039,Snorkeling,Snorkeling,iOS,Snorkeling settings editable,Gear/More,IOSSnorkelingSettingsContent,IOSSnorkelingSettingsContent,IOSSnorkelingSettingsStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,partial,yes,yes,yes,partial,yes,93,,,
MUIUX-F040,Snorkeling,Snorkeling,iOS,Snorkeling logbook,Sessions tab,IOSSnorkelingSessionsListView,IOSSnorkelingSessionsListView,IOSSnorkelingLogbookStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,yes,yes,yes,yes,partial,yes,90,,,
MUIUX-F041,Global,All,Watch+iOS,Sync/conflict UI,Settings/automatic,Sync status views,SyncStatusView,Sync stores,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,yes,n/a,yes,yes,n/a,yes,86,P1,MUIUX-P1-002,Paired-device QA PENDING
MUIUX-F042,Global,All,Watch,Developer Sensor Source,Settings DEBUG,Developer section,SettingsView,SensorSourceStore,Fully implemented,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,n/a,yes,90,,,Gated; simulation labeled
MUIUX-F043,Global,All,Watch+iOS,Localization EN/IT,All screens,Localizable.strings,Catalog,Localization catalogs,Fully implemented,yes,yes,partial,yes,yes,partial,n/a,n/a,n/a,yes,yes,n/a,yes,89,P2,MUIUX-P2-003,Portable scanner path gap
MUIUX-F044,Global,All,Watch+iOS,Accessibility contracts,All screens,Semantic IDs,Various views,A11y policies,Implemented software partial,yes,yes,partial,yes,yes,partial,n/a,n/a,n/a,partial,yes,yes,partial,yes,74,P1,MUIUX-P1-003,Physical VoiceOver PENDING
MUIUX-F045,Global,All,Watch+iOS,Visual regression registry,All screens,Mockup matrices,MockupVisualRegressionRegistry,MockupVisualRegressionRegistry,Fully implemented software,yes,partial,partial,yes,yes,partial,n/a,n/a,n/a,yes,yes,partial,yes,78,P2,MUIUX-P2-001,Physical pixel diff 0/59
MUIUX-F046,Diving,All,Watch,Digital Crown underwater paging,Active session,ContentView,ContentView,WatchUnderwaterPagePolicy,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,n/a,n/a,yes,yes,partial,yes,88,P2,P2-TEST-003,Policy tests; ContentView integration partial
MUIUX-F047,Diving,All,Watch,Underwater primary action hint,Active session,ContentView,WatchUnderwaterPrimaryActionHintView,WatchUnderwaterActionRouter,Fully implemented,yes,yes,yes,yes,yes,partial,n/a,n/a,n/a,yes,yes,partial,yes,87,P2,P2-UX-003,Toast copy Diving-centric
MUIUX-F048,Diving,All,Watch,ExecuteUnderwaterPrimaryActionIntent,Action Button,App Intents,ActionButtonIntents,WatchUnderwaterActionRouter,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,n/a,n/a,yes,yes,partial,yes,85,P1,P1-AB-001,Legacy intents bypass router
MUIUX-F049,Global,All,Watch,Water auto-open Settings,Settings,WatchWaterAutoOpenSettingsView,WatchWaterAutoOpenSettingsView,WatchWaterAutoOpenPolicy,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,n/a,n/a,yes,yes,partial,yes,82,P1,P1-WAO-001,Cold launch not wired
MUIUX-F050,Global,All,Watch,OpenWaterAutoLaunchModeIntent,Shortcuts,ActionButtonIntents,OpenWaterAutoLaunchModeIntent,DIRActivitySelectionStore,Fully implemented,yes,yes,yes,yes,yes,partial,yes,yes,n/a,n/a,yes,yes,partial,yes,84,P1,P1-WAO-001,Only intent path applies policy
MUIUX-F051,Global,All,Watch,App Intents catalog (9 shortcuts),Settings help,WatchShortcutHelpView,ActionButtonIntents,ActionButtonIntents,Fully implemented,yes,yes,partial,yes,yes,partial,yes,yes,n/a,n/a,yes,yes,partial,yes,83,P2,P2-UX-002,Underwater Action help panel missing
MUIUX-F052,Global,All,Watch,Crown/buttons user guide,Docs,Settings links,User guide markdown,Docs,Fully implemented,yes,yes,yes,yes,yes,n/a,n/a,n/a,n/a,yes,yes,n/a,yes,95,,,WATCH_CROWN_AND_BUTTONS_USER_GUIDE.md
