Setting_ID,Label,Activity,Shared,Backing_Store,Visible_In_Diving,Visible_In_Apnea,Visible_In_Snorkeling,Visible_In_iOS,Visible_In_Watch,Can_Edit_During_Active_Session,Syncs_To_Watch,Runtime_Effect,Evidence,Pass,Notes
diving.deco_stops,Decompression stop alerts,Diving,no,Full Computer config,yes,no,no,yes,yes,yes,no,FC UI alerts,manual,PASS,Algorithm unchanged UI scoped
dirdiving_ios_apnea_settings_v1,Apnea companion settings,Apnea,no,IOSApneaSettingsStore,no,yes,no,yes,yes,yes,on_demand,Recovery/detection/equipment,IOSApneaSettingsContent,PASS,Absent from Diving/Snorkeling
apnea.recovery.minimum_seconds,Minimum recovery time,Apnea,no,IOSApneaSettingsStore,no,yes,no,yes,yes,yes,on_demand,Session detection,IOSActivitySettingsRoutingTests,PASS,
apnea.detection.descent_depth,Descent detection threshold,Apnea,no,IOSApneaSettingsStore,no,yes,no,yes,yes,yes,on_demand,Auto session start,manual,PASS,
apnea.targets.depth,Apnea depth targets,Apnea,no,IOSApneaSettingsStore,no,yes,no,yes,yes,yes,on_demand,Training alarms,IOSApneaSettingsContent,PASS,
dirdiving.settings.snorkeling.v1,Snorkeling companion settings,Snorkeling,no,IOSSnorkelingSettingsStore,no,no,yes,yes,yes,yes,on_demand,GPS/route/dip,IOSSnorkelingSettingsContent,PASS,Absent from Diving/Apnea
snorkeling.gps.tracking,GPS route tracking,Snorkeling,no,IOSSnorkelingSettingsStore,no,no,yes,yes,yes,yes,on_demand,Route recording,IOSSnorkelingSettingsContent,PASS,
snorkeling.return_to_entry_distance,Return-to-entry distance,Snorkeling,no,IOSSnorkelingSettingsStore,no,no,yes,yes,yes,yes,on_demand,Navigation alert,manual,PASS,
snorkeling.dip_threshold,Dip detection threshold,Snorkeling,no,IOSSnorkelingSettingsStore,no,no,yes,yes,yes,yes,on_demand,Dip markers,manual,PASS,
dirdiving_ios_companion_settings_scope_v1,Settings UI scope (display only),Shared,yes,IOSCompanionSettingsScopeStore,yes,yes,yes,yes,no,yes,no,UI-only mode switch,IOSActivitySettingsModeSwitchTests,PASS,Does NOT mutate CompanionActivityPreferenceStore
companion.activity.preference,Companion activity selection,Shared,yes,CompanionActivityPreferenceStore,yes,yes,yes,yes,yes,no,when_idle,Root activity routing,IOSCompanionActivitySelectionTests,PASS,Watch session guard defers sync
dirdiving_ios_cloud_backup_enabled,Cloud backup toggle,Shared,yes,CloudBackupCapability / MoreView,yes,yes,yes,yes,no,yes,no,Backup scope,CloudBackupCapabilityTests,PASS,Diving truthful; Apnea stub disclosed
dirdiving.settings.mode_switcher,Settings mode switcher UI,Shared,yes,IOSCompanionSettingsModeSwitcher,yes,yes,yes,yes,no,yes,no,Presentation only,IOSCompanionSettingsRootView,PASS,Content visible below switcher not nested Form-in-ScrollView hide
dashboard.gear.settings_routing,Dashboard gear → Settings initial mode,All,no,IOSCompanionSettingsRootView initialMode,yes,yes,yes,yes,n/a,yes,no,Opens correct scope,IOSActivitySettingsRoutingTests,PASS,Apnea/Snorkeling gear opens matching mode
moreview.settings_entry,MoreView settings with switcher,Shared,no,MoreView + IOSCompanionSettingsRootView,yes,yes,yes,yes,n/a,yes,no,Same switcher as gear,IOSActivitySettingsContentVisibilityTests,PASS,
